Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,-0.077864,-0.0018081,-0.0010084,0,0,0,1.571,0.00095479,1.0468E-06,0.00018752,0.0016906,4.8155E-06,0.0014613,0,0,0,0,0,0,package://siriya/meshes/body_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://siriya/meshes/body_link.STL,,siriya.stp-1,body_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ridar_link,-0.083525,-2.1397E-05,-0.11821,0,0,0,1.571,0.00095479,1.0468E-06,0.00018752,0.0016906,4.8155E-06,0.0014613,0,0,0,0,0,0,package://siriya/meshes/ridar_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://siriya/meshes/ridar_link.STL,,siriya.stp-1,ridar_link,,ridar_joint,fixed,0.0056603,-0.0017867,0.1172,0,0,0,body_link,0,0,0,,,,,,,,,,,,
